51300016671,cde,92,142
51300021839,cfd,188,185
51300080105,gcf,252,121
51300127788,dcc,23,176
51300137265,fag,124,157
51300143428,dec,234,219
51300151059,bee,44,55
51300182388,aad,101,112
51300188744,gge,92,242
51300200761,efg,231,157
51300228793,cga,46,218
51300256352,cga,62,196
51300256671,ebd,229,95
51300272268,agb,4,99
51300346815,fdf,36,19
51300359868,dfa,6,270
51300363455,fbg,179,94
51300380376,cef,197,255
51300448455,cfe,185,125
51300489305,bdd,32,130
51300490767,ddd,275,137
51300515480,fca,94,63
51300552849,afb,62,123
51300581045,cfg,133,83
51300721204,dae,146,108
51300745159,abb,52,231
51300763130,gce,87,281
51300779100,cdg,50,97
51300806172,bcd,128,79
51300837990,ccd,17,97
51300904979,fac,12,247
51300949766,aed,144,297
51300982001,eef,230,110
51301050456,edg,260,262
51301053020,gfb,236,182
51301092598,fdg,126,176
51301144354,efg,160,136
51301150123,cad,170,101
51301157156,eab,186,182
51301177517,dbe,172,203
51301184032,cdc,169,84
51301187269,abe,76,52
51301191433,dbc,225,104
51301192197,ffd,291,136
51301204536,eeb,281,115
51301252518,gga,251,207
51301275304,dfd,76,174
51301446379,cca,260,129
51301477773,age,109,298
51301485721,bed,144,175
51301506374,bgc,6,227
51301509390,ade,240,95
51301510334,faa,25,168
51301513278,ced,142,88
51301605988,gcg,108,89
51301608297,abf,64,244
51301676546,fdf,290,20
51301699260,dce,168,212
51301721021,bdd,268,133
51301744384,gga,144,213
51301824057,efa,105,111
51301847539,fcb,84,142
51301859133,bdd,144,139
51301860991,eee,292,275
51301881703,dgd,2,37
51301887411,bcg,259,84
51301897582,fgf,43,270
51301933630,bag,98,256
51301942770,gfd,195,240
51301975488,gad,242,8
51301976353,gea,140,69
51302002795,eec,170,275
51302029772,dde,203,44
51302051906,gff,97,222
51302053408,dgd,73,40
51302074535,cfg,167,66
51302085168,cgc,164,106
51302100288,cbe,4,22
51302116080,fbd,69,27
51302176692,aac,84,117
51302186803,eeb,59,92
51302217057,bdc,176,201
51302230230,bfg,229,195
51302257942,egf,72,44
51302274979,bbb,17,122
51302291669,fac,240,224
51302341388,aab,43,266
51302343598,fbb,116,177
51302347084,cga,189,194
51302347737,dfd,96,184
51302381206,fed,225,147
51302419194,fag,80,135
51302483293,bed,277,166
51302491739,ebb,290,265
51302511717,def,187,14
51302558170,adb,281,139
51302576844,dga,21,211
